"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13871.25,13757.55,13986.2,18897.65,18831.65,18959.2,234.3,232.55,236.1,245.15,243.05,247.45,0,0,0,0,0,0,0,0,0,-6.28,-6.96,-5.54,-1.94,-2.8,-1.1,0,0,0
20,20,14906.15,14761.15,15044.95,19129.8,18963.3,19268.8,309,303.4,314.45,345.3,340.15,351.2,0,0,0,0,0,0,0,0,0,31.9190516094104,29.2576229796656,34.497646917281,40.8532850060412,38.8709254778619,42.7422397058468,0,0,0
30,20,11050.8,10791.65,11328.15,14703,14447.7,14935.9,389.4,384.8,394.1,470.55,462.75,477.95,0,0,0,0,0,0,0,0,0,26.2019287117609,23.8385317095774,28.4269817693888,36.3163815055712,34.8252701193681,37.6985913168528,0,0,0
40,20,7799.7,7601.95,7992.3,10043.7,9766.45,10303.95,450.5,445,455.6,599.75,592.1,607.35,0,0,0,0,0,0,0,0,0,15.7463887319968,14.2369666172453,17.3305985418164,27.5490307056567,25.7134712685093,29.3267656299881,0,0,0
50,20,5901.6,5695.4,6113.35,6437.5,6208.9,6694.25,484.5,479.05,488.9,707.3,696.15,718.6,0,0,0,0,0,0,0,0,0,7.63799692155285,5.77765140718475,9.41795126389631,17.9898074523953,16.2616986780271,19.6710948692902,0,0,0
60,20,5042.5,4881.4,5210.85,4226.45,4016.2,4443.25,493.75,489.8,498.1,765,757.4,772,0,0,0,0,0,0,0,0,0,1.98046458934887,0.497853945530205,3.60821855975616,8.25302779394069,6.5849199298465,9.72318490715145,0,0,0
70,20,4726,4557.55,4890.45,3394.8,3296.65,3496.4,503.55,499,507.55,775.05,768.45,780.9,0,0,0,0,0,0,0,0,0,2.00783247054871,1.02645624935894,2.87970344950436,1.36351802900909,0.0797969336267015,2.65428092185136,0,0,0
80,20,4507.85,4364.3,4646.75,3182.85,3077.85,3300.7,500.95,495.25,506,776.4,769.4,783.1,0,0,0,0,0,0,0,0,0,-0.495783508228035,-1.53325668208986,0.659729952806954,0.214833175492581,-0.992550999141331,1.45992230933487,0,0,0
90,20,4602.5,4468.25,4733.7,3079.85,2953.4,3205.9,508.5,503.4,513.75,775.8,769.7,782.1,0,0,0,0,0,0,0,0,0,1.56503264012685,0.0202923918483069,3.01008172205767,-0.0432113545086534,-1.06388866217412,0.940520620940116,0,0,0
