"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1extFreq","prey2extFreq","prey1extFreq.1","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,1,1,1,0.34,20,0,0,0,502.21,509.25,496,1648.705,1661.6,1640.3,0.00115506105695911,0.0140980970113085,-0.0102377986289428,-0.000710424871317343,0.0107116299787586,-0.012524575315865,79.7865384615385,157.9,30.15,1326.16346153846,1513.3,1099.3,252.186538461538,348.45,175.6,-0.00507744579210847,0.166752377706707,-0.183678778989513,-0.000375809053295127,0.0597910481967228,-0.044416898605646,0.0218045886779368,0.144996967275083,-0.0987865722451378,1.90961538461538,3.9,0.4,17.8192307692308,24.6,13.35
0,0,1,1,1,0.67,20,0,0,0,503.02,506.2,499.35,778.75,781.9,775.75,0.000271979702016254,0.0135567572084767,-0.00896682384972379,0.000310827958055718,0.00768647154839115,-0.00701152817882942,308.936538461538,315.3,302.7,572.65,583.45,564.9,197.626923076923,205.5,189.55,0.00144087707543551,0.0289168324150756,-0.0229245996214212,0.00162573569436036,0.0140962761754682,-0.0113964646413165,0.00085697683752361,0.0372658998655158,-0.0316600629827325,5.85,7.45,4.45,9.43076923076923,10.75,8.35
0,0,1,1,1,1,10,0,0,0,502.77,508.6,495.5,502.54,508.4,494.1,-0.000276581048037956,0.0107036412846651,-0.0249749700512011,0.0020370637834616,0.0185100403131684,-0.0126016493217342,415.826923076923,427.2,405,413.276923076923,419.6,403.7,119.230769230769,127.1,108.3,-0.000193579526548371,0.0288386314002584,-0.0195876723398658,0.00127139578295919,0.0338094872179309,-0.0220827148081532,0.00311411337429399,0.0890013277299324,-0.0389267879054157,4.84615384615385,6.3,3.6,4.60384615384615,5.8,3.4
0,0,1,1,1,1.34,20,0,0,0.05,501.34,509.05,497.25,348.725,352.65,344.1,0.00157521761607459,0.0149000614351416,-0.0140631639534945,0.00168969399478664,0.0179010479318558,-0.0124426043741364,480.319230769231,486.25,472.35,327.003846153846,330.95,319.55,36.3557692307692,41.5,30.95,0.00117030650663292,0.018346491311871,-0.019671769172493,0.000945669969362141,0.0235376500197774,-0.0140150268796176,0.0230627653335378,0.133452611822932,-0.0492874340143342,1.63653846153846,2.2,1,1.33076923076923,2,0.85
0,0,1,1,1,1.67,20,0,0,0.9,503.145,507,498.4,256.22,258.15,251.8,0.00128611407931501,0.0137668137204626,-0.00453726265615109,0.00140442658943304,0.0118346009670071,-0.0234357095762584,501.590384615385,506.35,493.4,255.825,260.05,251.75,1.23653846153846,3.35,0.2,0.00104460873049241,0.0199438243197394,-0.0217718063752094,0.00163831322467594,0.0186322715385603,-0.020180372276891,-0.00247806449952026,0.09,-0.101757575757576,0.0538461538461538,0.2,0,0.0384615384615385,0.2,0
0,0,1,1,1,2,20,0,0,1,502.465,505.55,498.1,198.365,202.05,193.15,0.000827417483400879,0.0104150397058856,-0.0112478288036343,0.00312989038649379,0.019560035357814,-0.0120145900543218,502.651923076923,508.7,496,198.938461538462,203.1,193.8,0.00384615384615385,0.05,0,0.0011034991613302,0.0201129582690135,-0.0154290694065372,0.0018163008311998,0.0272421790908527,-0.017032059993803,-0.00192307692307692,0,-0.05,0,0,0,0,0,0
1,0,1,1,1,0.34,20,0.1,0,0,502.5,507.75,496.8,1648.2,1660.5,1640.2,-0.000396240623368979,0.0100109405730691,-0.0119349255565719,-0.000365295070883248,0.0106924849165349,-0.00989740797815136,43.0038461538462,61.4,27.6,1397.71730769231,1450.95,1337.55,238.353846153846,265.05,209.85,-0.0025499142194506,0.12381513678943,-0.08676317641729,0.000169825493012121,0.0147703717591858,-0.0161055530712669,0.00726382029152381,0.0606096167867873,-0.0328499728035464,1.11153846153846,1.7,0.4,18.1538461538462,20.45,15.45
1,0,1,1,1,0.67,20,0,0,0,503.55,507.9,497.2,777.43,782.1,773.2,0.00177652574000631,0.0221455813975168,-0.0193157491586035,0.000645417170144331,0.0119861205913603,-0.00711611847526444,304.728846153846,322.6,283,581.840384615385,602.85,560.75,194.419230769231,205.55,182.9,0.0038305176233856,0.0391547429901745,-0.0344013875000135,0.00176076354267023,0.0218318408955805,-0.0225352411097523,0.0056765158232907,0.0329074512225727,-0.0439613725661734,5.76538461538462,6.95,4.35,9.27884615384615,10.25,8
1,0,1,1,1,1.34,20,0,0,0.1,503.2,509.95,497.05,348.18,351.6,345.75,0.000114125580209155,0.0173905194386196,-0.0247249622268907,0.00186270993294948,0.0121815930937654,-0.0149786541375003,478.388461538462,483.35,472.4,327.326923076923,332.9,322.55,36.0038461538462,39.75,29.6,0.000436690873434247,0.0121590996651216,-0.0149512508855549,0.00116401085049843,0.0252350355247082,-0.0252264161631338,0.00491236201241718,0.0744662302077973,-0.0951332500586056,1.67692307692308,2.4,1.15,1.13461538461538,1.65,0.55
1,0,1,1,1,1.67,20,0,0,0.9,502.755,507.95,499.8,256.3,260.7,253.85,0.000488368589837826,0.0101505626837902,-0.00639082920064614,-0.00131511894538081,0.0160075850210551,-0.0225174868820957,501.311538461538,507.65,495.45,255.025,262.8,250.3,2.15576923076923,3.35,1.15,0.000334468913661014,0.0217552914930037,-0.0147903280201344,0.00179471422982938,0.0231531118131454,-0.0246056032136492,-0.00161525674382643,0.0724097593582888,-0.0555288461538462,0.132692307692308,0.35,0,0.0615384615384615,0.15,0
1,0,1,1,1,2,20,0,0,1,503.77,508.8,499.65,197.855,200.2,195.35,0.00165473290761942,0.0195273830908946,-0.0108793501816939,0.00259577616499346,0.0241634607434768,-0.00928275347912081,502.005769230769,505.85,496.45,198.303846153846,201.9,195.6,0.159615384615385,0.55,0,0.000556875385864095,0.014116943130313,-0.016432412221622,0.000770744685356941,0.0201982071039018,-0.017591075423277,-0.000456487956487954,0.1,-0.05,0.00576923076923077,0.05,0,0.00576923076923077,0.05,0
1,0,1,1,1,1,20,0,0,0,502.705,510.1,498.4,502.755,506.95,498.5,-0.000738819893369348,0.0146465756412755,-0.0186088578091858,-3.75809992644562e-05,0.0163731763083853,-0.0123918820186697,408.042307692308,416.55,397.75,414.251923076923,420.55,407.7,121.559615384615,125.5,116.65,0.00174511916625613,0.0196128955475523,-0.0209364911678281,0.00191044726418871,0.0219000316202522,-0.0273349652521687,0.00386617923772568,0.0325254181093524,-0.0367200738086266,4.83653846153846,6.1,3.4,4.76346153846154,5.6,3.95
