timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13796,24927,238,251,0,0,0
20,14323,24982,304,380,0,0,0
30,11385,21719,401,532,0,0,0
40,7229,17852,439,755,0,0,0
50,6044,13027,496,1016,0,0,0
60,4275,8159,490,1323,0,0,0
70,5199,3858,510,1541,0,0,0
80,4145,2216,518,1631,0,0,0
90,4149,1667,509,1663,0,0,0
100,4385,1440,508,1692,0,0,0
110,4467,1209,491,1667,0,0,0
120,4749,1434,500,1628,0,0,0
130,4946,1433,495,1671,0,0,0
140,4281,1134,521,1661,0,0,0
150,4699,1336,483,1665,0,0,0
160,4885,1430,518,1642,0,0,0
170,4876,1417,498,1675,0,0,0
180,4590,1166,494,1653,0,0,0
190,4526,1417,499,1688,0,0,0
200,4715,1256,484,1626,0,0,0
210,5589,1755,479,1640,0,1,16
220,5496,1603,489,1613,2,1,22
230,4927,1534,504,1655,3,3,42
240,4807,1458,466,1621,2,3,59
250,5845,1618,460,1596,1,6,81
260,6721,1900,439,1588,0,5,105
270,7131,2152,427,1608,9,7,145
280,7355,1702,397,1591,4,16,209
290,9044,2175,365,1500,3,22,286
300,10858,3096,306,1444,10,18,352
310,14601,3706,265,1344,6,26,426
320,17001,4901,203,1284,5,28,456
330,19255,6353,186,1131,7,30,484
340,20711,8816,147,1050,5,33,526
350,23080,10134,104,942,6,32,497
360,25163,12312,80,832,6,37,464
370,26810,14318,62,753,1,22,385
380,27778,15480,41,711,1,18,319
390,28691,15436,41,773,4,21,254
400,28817,13985,36,854,2,21,202
410,29094,12368,30,964,2,13,184
420,29314,9955,35,1106,1,15,154
430,28815,7099,47,1270,1,13,143
440,27999,5056,48,1414,0,13,172
450,28192,3823,48,1474,0,16,166
460,28053,2742,49,1544,1,18,171
470,27825,2307,63,1488,0,14,179
480,27303,2879,62,1472,0,9,170
490,26871,3492,84,1528,0,12,176
500,25574,2789,92,1459,0,16,189
510,25431,2807,93,1483,2,7,205
520,25183,2949,101,1462,1,22,239
530,24984,3262,116,1432,2,18,234
540,23663,3656,102,1460,2,19,253
550,24643,3344,109,1436,1,17,290
560,24163,3564,121,1402,2,21,298
570,24053,3827,108,1376,0,25,328
580,24757,4256,93,1313,4,28,373
590,25541,5438,84,1212,4,29,389
600,26210,6260,64,1178,5,35,372
610,27624,7192,47,1160,4,27,377
620,28411,7669,43,1102,0,27,377
630,28679,8931,30,1056,0,25,365
640,29495,9135,29,1068,2,15,343
650,29423,8963,22,1024,2,31,352
660,29833,9665,14,1009,2,28,311
670,30343,9971,11,1094,0,23,292
680,30528,8158,15,1115,0,22,271
690,30331,7794,18,1200,0,15,252
700,30121,6337,13,1299,0,17,217
710,30324,4943,20,1346,0,16,203
720,29711,4207,29,1417,0,16,198
730,29094,3595,42,1458,0,18,206
740,28383,3270,50,1451,1,19,219
750,27980,3138,53,1438,1,16,218
760,27780,3448,52,1411,3,18,230
770,27948,3756,41,1491,1,20,216
780,28650,3199,42,1456,0,10,204
790,28345,3082,48,1491,1,9,199
800,28387,2803,46,1443,1,11,191
810,28191,3186,43,1534,0,12,202
820,28478,2966,55,1459,0,15,211
830,27556,3112,57,1440,2,22,229
840,27421,3455,69,1447,0,18,257
850,27200,3750,51,1417,1,17,267
860,27780,3880,55,1388,1,22,293
870,27854,3781,53,1382,1,21,289
880,28113,4127,43,1381,2,20,311
890,28568,4435,46,1316,0,23,290
900,28493,4700,40,1380,4,26,273
910,28948,4180,33,1414,1,16,248
920,29357,3963,24,1390,1,20,248
930,29694,4238,25,1363,0,26,271
940,29668,4495,18,1355,3,21,267
950,30084,4480,19,1338,2,22,261
960,29924,4165,26,1361,0,29,281
970,29713,4081,19,1375,0,21,262
980,30019,4266,24,1389,0,26,251
990,29660,4292,22,1342,1,23,278
1000,29782,5211,31,1323,0,26,273
