"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13916.5,13822.7,14005.95,10699.85,10585.6,10801.8,232.05,229.45,234.25,196.2,193.25,198.95,0,0,0,0,0,0,0,0,0,-7.18,-8.2,-6.28,-21.52,-22.76,-20.4,0,0,0
20,20,15033.1,14872.85,15178.25,13859.1,13644.8,14070.75,306.65,300.5,312.8,224.3,219.5,228.4,0,0,0,0,0,0,0,0,0,32.2004614851966,29.4124738869232,35.0094398438489,14.3538377906375,12.5350307154584,16.0660512143272,0,0,0
30,20,11234.2,10906.75,11521.2,12283.5,11981.35,12581.55,396.3,389.6,404.95,278.1,273.7,282.2,0,0,0,0,0,0,0,0,0,29.3605605076159,27.2026800206018,31.6915071091774,24.1730961684422,21.6020420726182,26.7611828555745,0,0,0
40,20,7668.5,7369.4,7982.25,9396.6,9190.9,9624.35,446.4,438.6,453.35,316.85,312.3,321.25,0,0,0,0,0,0,0,0,0,12.7713213643412,10.5580810606566,14.8068763089803,14.1003575824255,11.4805750794122,16.9671034945173,0,0,0
50,20,5975.8,5762.5,6227.15,7705.05,7475.55,7938.95,483.25,476.5,490.15,335.55,331.65,339,0,0,0,0,0,0,0,0,0,8.38518696923557,6.46750019425959,10.3238475774931,5.98244876590123,4.40289176204588,7.42387211431283,0,0,0
60,20,4982.85,4785.9,5169.75,6886.85,6710.25,7091.2,496.4,490.7,501.95,341.6,335.35,347.5,0,0,0,0,0,0,0,0,0,2.8198074204446,0.949065776633938,4.70862653707148,1.86572754661554,-0.340007783933946,3.90467021529482,0,0,0
70,20,4587.1,4403.45,4770.1,6648.15,6383.75,6883.1,503.8,497.45,509.8,347,342.7,351.65,0,0,0,0,0,0,0,0,0,1.57376793351428,-0.345084499317069,3.34866109324033,1.7316338852109,-0.176360953851819,3.83695860251892,0,0,0
80,20,4403.75,4246.55,4540.15,6484.25,6317.15,6658.25,505.7,499.85,511.6,347.15,343,351.2,0,0,0,0,0,0,0,0,0,0.442101006115413,-1.13957738935654,1.86846868630178,0.147715871998016,-1.93509690221451,2.07424861118127,0,0,0
90,20,4327.95,4136.2,4517.75,6427.5,6250.65,6605.5,507,500.6,513.65,347,342.9,351.7,0,0,0,0,0,0,0,0,0,0.338397154556548,-1.44116054409254,1.98377552397707,0.0182393499950861,-1.62591998696581,1.4309113636204,0,0,0
100,20,4482.9,4331.35,4644.9,6458.4,6238.05,6686.95,500.3,493.5,507,348.8,344.1,354.35,0,0,0,0,0,0,0,0,0,-1.21482207971014,-3.33723710884701,0.655990367283617,0.598913348619052,-1.45810640585299,2.71958162009078,0,0,0
110,20,4667.9,4519.7,4812.7,6347.05,6095.2,6561.05,498.5,491.9,504.85,352.65,347.4,357.85,0,0,0,0,0,0,0,0,0,-0.2651971076915,-2.26771689298178,1.55018899034354,1.20178929513855,-0.721833296513829,3.02057389883004,0,0,0
120,20,4689.05,4490.6,4886.9,6362.95,6126.55,6604.75,497.25,490.8,503.2,348,343.15,352.9,0,0,0,0,0,0,0,0,0,-0.143464215118539,-2.11826098653449,1.76421295832709,-1.24426043741364,-2.98581066860312,0.315008391202081,0,0,0
130,20,4654.45,4462.8,4834.75,6397.7,6169.95,6638.2,497.55,492,502.85,344.1,339.65,348.65,0,0,0,0,0,0,0,0,0,0.170099810818326,-1.67655000583431,1.99447642234235,-1.0224510701829,-3.10815009531317,0.737673439904263,0,0,0
140,20,4603.95,4444.3,4768.55,6543.35,6372.15,6720.15,502.45,494.55,510,348,343.6,351.95,0,0,0,0,0,0,0,0,0,1.03624242558777,-0.791843470495528,2.73855647872925,1.22244236184639,-0.649626954998317,2.84558487508574,0,0,0
150,20,4524.2,4329.85,4730,6376.75,6207.35,6544.6,509.05,502.8,514.65,347.6,344.35,350.85,0,0,0,0,0,0,0,0,0,1.49000614351416,-0.78672508464882,3.89539578801303,-0.0156912387137424,-1.7715870655109,1.88387300385167,0,0,0
160,20,4411.15,4218.6,4610.75,6491.8,6342.7,6644.6,501.45,497.15,505.85,345.05,340.05,349.25,0,0,0,0,0,0,0,0,0,-1.40631639534945,-2.91902558041551,0.123681947491016,-0.696380241195209,-2.13254499356159,0.666303406423135,0,0,0
170,20,4502.55,4394.4,4622.85,6502.1,6311.8,6689.95,501.85,496.65,507.55,350.9,345.05,356.6,0,0,0,0,0,0,0,0,0,0.108948459353453,-1.17799835219342,1.32281008222661,1.79010479318558,-0.260335607497469,4.08198543326013,0,0,0
180,20,4528.5,4379.15,4684.4,6307.3,6063.75,6580.8,501.3,496.75,506.65,350.15,345.8,354.3,0,0,0,0,0,0,0,0,0,-0.0273287933532323,-1.72714824026409,1.74767847250275,-0.104765049651101,-1.69739462853829,1.63793832357131,0,0,0
190,20,4533.75,4352.2,4709.7,6457,6282,6627.65,500.3,495.65,505.45,349.1,344.8,353.45,0,0,0,0,0,0,0,0,0,-0.117311704251585,-1.69982631329683,1.637671769158,-0.230383409854039,-1.77804654359276,1.50448895315197,0,0,0
200,20,4507,4372.4,4634.9,6426.65,6246.8,6601.95,503.7,497.7,508.8,351.7,347.5,355.7,0,0,0,0,0,0,0,0,0,0.729538992565183,-0.73126960049298,2.06850188712338,0.789288991626749,-0.514683802248291,2.07793356330681,0,0,0
