timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13746,13818,238,231,0,0,0
20,14429,15147,302,300,0,0,0
30,11123,11534,404,402,0,0,0
40,7241,7323,456,438,0,0,0
50,5556,6556,492,462,0,0,0
60,4857,5722,489,504,0,0,0
70,4903,4701,500,502,0,0,0
80,4808,5069,504,497,0,0,0
90,4104,4690,497,502,0,0,0
100,4263,4524,515,479,0,0,0
110,4447,4903,517,529,0,0,0
120,3709,3849,508,514,0,0,0
130,4149,4432,520,524,0,0,0
140,4167,4553,497,486,0,0,0
150,4390,5067,513,477,0,0,0
160,4093,5123,506,500,0,0,0
170,4377,4536,512,494,0,0,0
180,4186,4637,481,521,0,0,0
190,5281,3868,498,501,0,0,0
200,5174,4146,482,508,0,0,0
210,5263,4414,480,509,0,1,27
220,5388,4567,502,503,1,2,34
230,4688,4785,504,474,2,0,27
240,4318,5045,486,517,0,0,26
250,5027,3880,478,492,5,3,32
260,5457,4932,461,488,1,1,36
270,5813,4868,482,488,3,1,30
280,5511,4891,485,480,2,1,40
290,4887,4935,501,502,1,2,44
300,5075,4716,459,491,3,3,45
310,6412,5035,458,487,1,1,60
320,6502,4848,458,460,2,6,76
330,5873,6023,461,457,2,3,74
340,6174,6037,446,444,4,2,82
350,6691,6834,437,440,2,2,85
360,6596,6062,423,458,3,5,92
370,7058,6219,444,453,5,6,90
380,5892,6624,463,442,6,1,85
390,6238,6843,452,449,4,3,75
400,6316,6197,450,452,1,5,76
410,6659,6641,448,454,5,2,85
420,6159,6219,463,430,7,1,89
430,5790,7292,443,432,7,5,98
440,6823,7420,440,406,2,6,108
450,6465,8461,450,404,3,5,118
460,6659,7358,400,445,3,3,128
470,8279,7029,412,422,6,2,139
480,8040,7571,408,385,3,5,140
490,7516,8985,402,379,6,8,136
500,8897,8692,375,376,1,4,136
510,9523,8876,386,411,3,3,136
520,8864,8135,388,408,7,3,131
530,9106,7757,377,391,6,2,127
540,9161,9066,416,380,1,5,122
550,7200,9343,420,409,8,5,126
560,7419,7385,428,400,1,6,144
570,8105,8054,407,389,6,7,137
580,8315,8706,396,402,7,2,136
590,8981,7988,377,402,8,6,144
600,9375,8553,355,376,10,6,141
610,9903,9214,379,395,0,6,128
620,9511,8645,389,404,2,4,106
630,8737,7784,383,415,8,10,129
640,9279,8154,402,396,4,5,125
650,8002,8592,388,407,9,4,135
660,8525,8645,385,390,5,2,123
670,8873,8336,369,392,9,7,122
680,9021,8723,391,401,3,2,118
690,8559,8478,434,389,4,5,123
700,7470,8554,418,392,4,5,139
710,8024,8576,409,395,3,7,133
720,8356,8285,393,422,5,4,120
730,8243,7030,406,436,7,3,124
740,7536,7090,422,413,6,7,118
750,6981,7422,435,429,4,7,126
760,6854,7177,402,427,4,6,121
770,8357,6843,416,413,3,6,113
780,7879,7893,414,424,6,4,105
790,7377,7274,433,438,5,4,109
800,7072,6528,417,429,6,4,113
810,7677,7486,425,429,6,3,118
820,6826,7103,435,418,4,6,112
830,7173,7514,419,402,7,6,116
840,7827,8255,405,397,6,5,126
850,8205,8845,390,376,6,5,144
860,8537,9054,388,421,5,3,117
870,8726,7632,399,410,3,7,105
880,8662,7864,404,406,5,4,112
890,7948,7757,405,421,1,5,98
900,7977,7557,418,425,5,7,99
910,8452,7789,414,406,8,5,105
920,8035,7750,421,432,2,5,107
930,6719,7429,435,428,5,5,93
940,6879,6833,466,440,3,3,87
950,6342,6597,434,445,8,3,98
960,7396,6965,436,440,5,2,101
970,7257,6557,416,431,3,5,102
980,7167,7181,452,439,3,4,113
990,6323,6774,442,417,4,6,111
1000,6549,6961,440,425,4,4,109
