"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13737,7084,238,108,0,0,0,-4.8,-56.8,0
1,20,14782,17585,307,107,0,0,0,28.9915966386555,-0.925925925925926,0
1,30,11277,17758,386,133,0,0,0,25.7328990228013,24.2990654205607,0
1,40,7892,15310,430,137,0,0,0,11.3989637305699,3.00751879699248,0
1,50,6803,15093,477,174,0,0,0,10.9302325581395,27.007299270073,0
1,60,5314,11313,505,182,0,0,0,5.87002096436059,4.59770114942529,0
1,70,4574,10874,523,199,0,0,0,3.56435643564356,9.34065934065934,0
1,80,3953,9850,504,198,0,0,0,-3.63288718929254,-0.50251256281407,0
1,90,4042,10202,489,202,0,0,0,-2.97619047619048,2.02020202020202,0
1,100,4490,9689,534,204,0,0,0,9.20245398773006,0.99009900990099,0
1,110,3531,9562,502,188,0,0,0,-5.99250936329588,-7.84313725490196,0
1,120,4427,11099,529,197,0,0,0,5.37848605577689,4.78723404255319,0
1,130,4402,10451,488,191,0,0,0,-7.75047258979206,-3.04568527918782,0
1,140,5128,10673,482,181,0,0,0,-1.22950819672131,-5.23560209424084,0
1,150,5192,11140,477,202,0,0,0,-1.03734439834025,11.6022099447514,0
1,160,5132,9919,501,202,0,0,0,5.0314465408805,0,0
1,170,4166,10207,509,206,0,0,0,1.59680638722555,1.98019801980198,0
1,180,4588,10157,488,202,0,0,0,-4.12573673870334,-1.94174757281553,0
1,190,4756,10248,489,192,0,0,0,0.204918032786885,-4.95049504950495,0
1,200,4640,10992,495,196,0,0,0,1.22699386503067,2.08333333333333,0
1,210,4491,10762,501,189,3,1,20,1.21212121212121,-3.57142857142857,0
1,220,4894,11177,502,177,0,0,16,0.199600798403194,-6.34920634920635,-20
1,230,4368,12032,514,176,1,0,12,2.39043824701195,-0.564971751412429,-25
1,240,4062,11963,509,189,1,0,14,-0.972762645914397,7.38636363636364,16.6666666666667
1,250,4026,10900,493,195,1,0,11,-3.1434184675835,3.17460317460317,-21.4285714285714
1,260,4791,10253,500,185,0,0,12,1.41987829614604,-5.12820512820513,9.09090909090909
1,270,5159,11217,497,208,0,0,9,-0.6,12.4324324324324,-25
1,280,4872,9183,487,199,0,0,9,-2.01207243460765,-4.32692307692308,0
1,290,4899,10297,492,195,1,0,9,1.02669404517454,-2.01005025125628,0
1,300,4358,10410,500,187,0,0,9,1.6260162601626,-4.1025641025641,0
1,310,4356,11391,492,193,1,0,6,-1.6,3.20855614973262,-33.3333333333333
1,320,4512,10658,506,177,0,0,8,2.84552845528455,-8.29015544041451,33.3333333333333
1,330,4033,11735,500,201,0,0,8,-1.18577075098814,13.5593220338983,0
1,340,4747,10005,523,205,1,0,2,4.6,1.99004975124378,-75
1,350,4035,10205,491,193,0,0,1,-6.11854684512428,-5.85365853658537,-50
1,360,4572,10707,510,187,0,0,1,3.86965376782077,-3.10880829015544,0
1,370,4658,10745,495,190,0,0,1,-2.94117647058824,1.60427807486631,0
1,380,5075,10187,496,209,0,0,1,0.202020202020202,10,0
1,390,4452,9411,519,195,0,0,0,4.63709677419355,-6.69856459330144,-100
1,400,4369,10287,487,197,0,0,0,-6.16570327552987,1.02564102564103,0
1,410,5171,10214,502,199,0,0,0,3.08008213552361,1.01522842639594,0
1,420,4581,10386,497,202,0,0,0,-0.99601593625498,1.50753768844221,0
1,430,4436,10028,500,199,0,0,0,0.603621730382294,-1.48514851485149,0
1,440,4974,10768,500,183,0,0,0,0,-8.04020100502512,0
1,450,4932,11181,499,194,0,0,0,-0.2,6.01092896174863,0
