"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13874.45,13801.1,13956.85,7128,7014.35,7247.9,235.6,233,238.3,109.5,106.4,112.6,0,0,0,0,0,0,0,0,0,-5.76,-6.88,-4.74,-56.2,-57.52,-55.04,0,0,0
20,20,14811.8,14617.85,14998.7,17231.35,16932.85,17529.55,305.35,301.6,308.8,110.4,108,112.65,0,0,0,0,0,0,0,0,0,29.6271332425796,28.4607073868286,30.812382742248,1.07462898621022,-1.39130602974351,3.40566659029122,0,0,0
30,20,11259,11056.65,11469.2,17238.85,16990.5,17493.65,394.5,388.6,400.95,135.55,132.25,139.05,0,0,0,0,0,0,0,0,0,29.2598385667922,27.0449492705257,31.2963778346173,22.8599942720165,20.2086585492283,25.6458180981309,0,0,0
40,20,7656.95,7405.05,7892.6,14964.6,14606.45,15345.2,451.95,445.75,458.1,157,153.3,160.85,0,0,0,0,0,0,0,0,0,14.6676847707769,12.7454131461816,16.6558121943006,16.1037531687283,12.786041015003,19.5170675405052,0,0,0
50,20,5880.65,5667.5,6105.1,13196.9,12830.55,13558.85,485.05,479.5,490.2,173.1,169.6,176.25,0,0,0,0,0,0,0,0,0,7.39756376376932,5.90016641061073,8.87014315066473,10.4896306922956,8.00922793160994,13.2390867657451,0,0,0
60,20,4949.35,4751.95,5126.15,11750.9,11481.75,12029.3,497.55,491.9,503.7,185,180.95,188.6,0,0,0,0,0,0,0,0,0,2.66754394780632,0.708824437153458,4.68821658672092,6.96731844341282,4.7470119786794,8.96635030841747,0,0,0
70,20,4622.95,4434.8,4823.15,11127.5,10828.95,11460.65,501.5,493.5,509.6,190.65,185.85,194.85,0,0,0,0,0,0,0,0,0,0.891679069259467,-1.27122536684554,2.91852075414169,3.185942069529,0.483201319397528,5.83774797325912,0,0,0
80,20,4474.3,4271.25,4717.55,10656.05,10378.5,10967.9,504.4,499.2,509.1,194.6,191.1,197.55,0,0,0,0,0,0,0,0,0,0.682698629891364,-0.865317287974108,2.16959554838517,2.37422737104614,-0.686068630968184,5.69111302809386,0,0,0
90,20,4401.95,4267.5,4540.65,10476.4,10211.85,10750.75,501.15,496.35,506.15,193.9,190.7,196.65,0,0,0,0,0,0,0,0,0,-0.603651779299066,-1.8646338944934,0.636233558344035,-0.209531946135933,-2.72027092451822,1.94167002196366,0,0,0
100,20,4481.5,4343.25,4628.35,10388.95,10168.5,10619.15,504.2,497.3,511,197.55,193.25,201.9,0,0,0,0,0,0,0,0,0,0.678081729389134,-1.24391357097338,2.65301145856931,1.93918048881017,-0.110477661154208,3.88026280248953,0,0,0
110,20,4525.8,4292.6,4751.65,10238.7,9881.95,10583.2,502.4,496.1,508.8,198.35,194.5,202.85,0,0,0,0,0,0,0,0,0,-0.272617847638726,-1.9983132509437,1.45903394308489,0.682438275580093,-2.26765853100298,4.12131917702968,0,0,0
120,20,4547.05,4365.95,4714.85,10331.2,10115.7,10533.2,502,496.15,507.95,195.6,192.75,198.6,0,0,0,0,0,0,0,0,0,0.0028073599261076,-1.7530055053251,1.57992938098847,-1.1464220110461,-3.88999017598891,1.3636671796453,0,0,0
