"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13787,8551,238,145,0,0,0,-4.8,-42,0
1,20,14973,15232,312,151,0,0,0,31.0924369747899,4.13793103448276,0
1,30,11236,14865,409,206,0,0,0,31.0897435897436,36.4238410596027,0
1,40,7068,11652,450,205,0,0,0,10.0244498777506,-0.485436893203884,0
1,50,5645,10982,467,229,0,0,0,3.77777777777778,11.7073170731707,0
1,60,5359,9371,509,247,0,0,0,8.99357601713062,7.86026200873362,0
1,70,4359,8605,512,262,0,0,0,0.589390962671906,6.07287449392713,0
1,80,3830,7800,524,260,0,0,0,2.34375,-0.763358778625954,0
1,90,4447,8523,491,260,0,0,0,-6.29770992366412,0,0
1,100,4940,7874,504,268,0,0,0,2.64765784114053,3.07692307692308,0
1,110,4301,7935,495,267,0,0,0,-1.78571428571429,-0.373134328358209,0
1,120,4819,7967,510,244,0,0,0,3.03030303030303,-8.61423220973783,0
1,130,4153,9256,534,260,0,0,0,4.70588235294118,6.55737704918033,0
1,140,3745,8153,511,242,0,0,0,-4.30711610486891,-6.92307692307692,0
1,150,4470,9465,476,253,0,0,0,-6.84931506849315,4.54545454545455,0
1,160,5291,8099,510,265,0,0,0,7.14285714285714,4.74308300395257,0
1,170,4500,8121,492,252,0,0,0,-3.52941176470588,-4.90566037735849,0
1,180,4896,8368,504,269,0,0,0,2.4390243902439,6.74603174603175,0
1,190,4538,8028,484,252,0,0,0,-3.96825396825397,-6.31970260223048,0
1,200,4886,9100,492,243,0,0,0,1.65289256198347,-3.57142857142857,0
1,210,4730,9592,497,237,0,1,24,1.01626016260163,-2.46913580246914,0
1,220,4290,9379,500,252,0,2,20,0.603621730382294,6.32911392405063,-16.6666666666667
1,230,4586,8776,481,244,1,1,21,-3.8,-3.17460317460317,5
1,240,4943,9085,495,237,3,1,32,2.91060291060291,-2.86885245901639,52.3809523809524
1,250,4990,9815,486,237,2,0,31,-1.81818181818182,0,-3.125
1,260,5041,10062,500,257,0,1,37,2.88065843621399,8.43881856540084,19.3548387096774
1,270,4427,8507,471,234,2,2,33,-5.8,-8.94941634241245,-10.8108108108108
1,280,5505,9797,494,227,1,2,38,4.88322717622081,-2.99145299145299,15.1515151515152
1,290,5065,10584,481,234,4,2,36,-2.63157894736842,3.08370044052863,-5.26315789473684
1,300,5303,9475,473,234,3,0,38,-1.66320166320166,0,5.55555555555556
1,310,5721,9492,457,231,3,3,37,-3.38266384778013,-1.28205128205128,-2.63157894736842
1,320,5917,10393,470,225,1,0,30,2.84463894967177,-2.5974025974026,-18.9189189189189
1,330,5603,10218,459,230,3,0,34,-2.34042553191489,2.22222222222222,13.3333333333333
1,340,5980,10005,470,255,4,0,30,2.39651416122004,10.8695652173913,-11.7647058823529
1,350,5382,8955,469,231,3,3,24,-0.212765957446809,-9.41176470588235,-20
1,360,5867,9450,465,242,1,1,20,-0.852878464818763,4.76190476190476,-16.6666666666667
1,370,5722,9196,511,249,1,0,24,9.89247311827957,2.89256198347107,20
1,380,4159,8932,504,246,0,2,20,-1.36986301369863,-1.20481927710843,-16.6666666666667
1,390,4868,8684,475,250,0,0,20,-5.75396825396825,1.6260162601626,0
1,400,5280,9225,486,232,0,1,18,2.31578947368421,-7.2,-10
1,410,5159,10008,480,241,1,0,22,-1.23456790123457,3.87931034482759,22.2222222222222
1,420,5181,9399,500,256,1,0,20,4.16666666666667,6.22406639004149,-9.09090909090909
