timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13881,7299,227,104,0,0,0
20,15105,17831,299,108,0,0,0
30,11224,17702,405,145,0,0,0
40,7399,13928,458,154,0,0,0
50,5643,13299,499,167,0,0,0
60,5153,12475,465,187,0,0,0
70,5275,11467,501,181,0,0,0
80,4567,10839,494,196,0,0,0
90,4331,10028,515,200,0,0,0
100,3855,9771,508,214,0,0,0
110,4354,9385,511,204,0,0,0
120,4596,9040,496,193,0,0,0
130,4922,10398,511,196,0,0,0
140,4223,10517,499,197,0,0,0
150,4477,10163,495,202,0,0,0
160,4705,10120,517,194,0,0,0
170,4207,10658,506,192,0,0,0
180,4303,10577,489,206,0,0,0
190,4648,9845,518,196,0,0,0
200,4087,10324,501,195,0,0,0
210,4795,10780,505,186,2,0,16
220,4489,11375,480,181,1,0,12
230,5521,11604,482,191,1,1,14
240,5253,10932,481,200,0,0,7
250,5083,10015,488,187,0,0,4
260,5328,10508,486,208,0,0,1
270,4845,9996,501,199,0,0,0
280,4682,9972,509,213,0,0,0
290,3823,9410,491,171,0,0,0
300,4676,11965,497,190,0,0,0
310,4803,11041,495,193,0,0,0
320,3975,10528,520,203,0,0,0
330,4049,9843,531,198,0,0,0
340,4139,11070,512,197,0,0,0
350,3845,10323,502,196,0,0,0
360,4250,10510,497,194,0,0,0
370,4573,10904,509,191,0,0,0
380,4157,10263,495,200,0,0,0
390,4441,9467,507,190,0,0,0
400,5003,10519,519,191,0,0,0
410,4129,10675,480,211,0,0,0
420,5448,9208,509,203,0,0,0
430,4910,9724,493,200,0,0,0
440,4879,10086,487,211,0,0,0
450,5206,9345,502,203,0,0,0
460,4905,10199,479,198,0,0,0
470,4678,10257,482,195,0,0,0
480,5400,10460,515,205,0,0,0
490,3955,9675,500,208,0,0,0
500,4686,9039,494,198,0,0,0
510,4918,9967,504,206,0,0,0
520,4321,9678,480,196,0,0,0
530,5357,9881,504,203,0,0,0
540,4994,10389,475,192,0,0,0
550,5884,10580,499,204,0,0,0
560,4660,10372,482,193,0,0,0
570,4901,11010,503,180,0,0,0
580,4599,12152,538,177,0,0,0
590,3458,12160,504,177,0,0,0
600,4545,10921,495,197,0,0,0
610,4418,10154,494,204,0,0,0
620,4524,9433,497,197,0,0,0
630,4724,9950,508,194,0,0,0
640,4341,10000,510,196,0,0,0
650,4613,10429,505,209,0,0,0
660,4716,9589,505,202,0,0,0
670,4259,10196,524,210,0,0,0
680,3837,9463,496,185,0,0,0
690,4609,11157,491,196,0,0,0
700,4689,10062,521,205,0,0,0
710,4174,10044,507,184,0,0,0
720,4377,10871,524,197,0,0,0
730,4323,9713,499,204,0,0,0
740,4784,9663,469,198,0,0,0
750,5448,9970,501,207,0,0,0
760,4782,9211,492,207,0,0,0
770,4415,9641,516,200,0,0,0
780,4591,10388,498,210,0,0,0
790,4733,9661,503,192,0,0,0
800,4241,10756,515,197,0,0,0
810,3927,10352,503,191,0,0,0
820,4878,10612,510,194,0,0,0
830,4858,10828,481,197,0,0,0
840,5053,10204,482,189,0,0,0
850,4895,10203,503,194,0,0,0
860,4535,10315,502,209,0,0,0
870,4542,9604,499,202,0,0,0
880,4284,9370,511,210,0,0,0
890,4158,8822,530,215,0,0,0
900,4085,9722,480,202,0,0,0
910,5283,10480,490,195,0,0,0
920,4459,10005,523,211,0,0,0
930,4291,9958,508,194,0,0,0
940,4721,10396,460,200,0,0,0
950,5605,9840,472,203,0,0,0
960,5411,10065,513,200,0,0,0
970,4451,10169,495,204,0,0,0
980,4499,10259,514,191,0,0,0
990,4210,10352,502,194,0,0,0
1000,4567,10814,491,202,0,0,0
