"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13988,7617,232,105,0,0,0,-7.2,-58,0
1,20,15426,17946,296,108,0,0,0,27.5862068965517,2.85714285714286,0
1,30,11468,17371,376,139,0,0,0,27.027027027027,28.7037037037037,0
1,40,8283,14685,454,150,0,0,0,20.7446808510638,7.9136690647482,0
1,50,6159,13392,498,181,0,0,0,9.69162995594714,20.6666666666667,0
1,60,4777,11470,488,197,0,0,0,-2.00803212851406,8.83977900552486,0
1,70,5044,9814,504,190,0,0,0,3.27868852459016,-3.55329949238579,0
1,80,4682,10894,484,183,0,0,0,-3.96825396825397,-3.68421052631579,0
1,90,4633,11122,505,196,0,0,0,4.33884297520661,7.10382513661202,0
1,100,4512,10285,495,189,0,0,0,-1.98019801980198,-3.57142857142857,0
1,110,4331,10700,519,202,0,0,0,4.84848484848485,6.87830687830688,0
1,120,4139,10226,499,198,0,0,0,-3.85356454720617,-1.98019801980198,0
1,130,4373,9774,504,207,0,0,0,1.00200400801603,4.54545454545455,0
1,140,4210,9545,529,197,0,0,0,4.96031746031746,-4.83091787439614,0
1,150,4031,10177,480,205,0,0,0,-9.26275992438563,4.06091370558376,0
1,160,5006,9922,492,202,0,0,0,2.5,-1.46341463414634,0
1,170,4622,9297,512,205,0,0,0,4.0650406504065,1.48514851485149,0
1,180,4403,9330,504,197,0,0,0,-1.5625,-3.90243902439024,0
1,190,4563,10413,492,209,0,0,0,-2.38095238095238,6.09137055837563,0
1,200,4639,9074,519,207,0,0,0,5.48780487804878,-0.956937799043062,0
1,210,4379,9599,498,196,3,0,25,-4.04624277456647,-5.31400966183575,0
1,220,4736,10433,489,192,0,0,19,-1.80722891566265,-2.04081632653061,-24
1,230,4987,10096,484,206,0,0,22,-1.02249488752556,7.29166666666667,15.7894736842105
1,240,5149,10086,471,200,0,0,21,-2.68595041322314,-2.9126213592233,-4.54545454545455
1,250,5133,9729,485,193,1,1,15,2.9723991507431,-3.5,-28.5714285714286
1,260,4776,10880,511,188,0,0,13,5.36082474226804,-2.59067357512953,-13.3333333333333
1,270,4260,10707,494,187,1,0,17,-3.32681017612524,-0.531914893617021,30.7692307692308
1,280,4714,10952,496,182,0,1,22,0.404858299595142,-2.67379679144385,29.4117647058824
1,290,5102,11468,483,184,1,0,17,-2.62096774193548,1.0989010989011,-22.7272727272727
1,300,5439,11413,476,185,2,0,13,-1.44927536231884,0.543478260869565,-23.5294117647059
1,310,5284,11139,486,191,1,1,15,2.10084033613445,3.24324324324324,15.3846153846154
1,320,5090,10354,502,206,0,0,12,3.29218106995885,7.85340314136126,-20
1,330,4302,9783,498,196,1,1,10,-0.796812749003984,-4.85436893203883,-16.6666666666667
1,340,4682,9907,490,197,0,0,11,-1.60642570281124,0.510204081632653,10
1,350,4450,10636,498,199,1,1,8,1.63265306122449,1.01522842639594,-27.2727272727273
1,360,4802,10477,504,196,0,0,9,1.20481927710843,-1.50753768844221,12.5
1,370,4415,10061,509,187,1,0,8,0.992063492063492,-4.59183673469388,-11.1111111111111
1,380,4763,10829,496,201,0,0,8,-2.55402750491159,7.48663101604278,0
1,390,4958,10041,468,196,1,0,8,-5.64516129032258,-2.48756218905473,0
1,400,5433,10845,471,183,0,0,7,0.641025641025641,-6.63265306122449,-12.5
1,410,5507,10616,498,202,0,1,7,5.73248407643312,10.3825136612022,0
1,420,4540,10269,512,210,0,0,7,2.81124497991968,3.96039603960396,0
1,430,4021,9278,483,182,0,1,8,-5.6640625,-13.3333333333333,14.2857142857143
1,440,4847,11082,511,198,0,0,3,5.79710144927536,8.79120879120879,-62.5
1,450,4597,10071,502,194,0,0,2,-1.76125244618395,-2.02020202020202,-33.3333333333333
1,460,4643,10550,516,202,0,0,0,2.78884462151394,4.12371134020619,-100
1,470,4020,10193,510,197,0,0,0,-1.16279069767442,-2.47524752475248,0
1,480,4450,9820,502,208,0,0,0,-1.56862745098039,5.58375634517767,0
