"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,20,31250,31250,31250,31250,31250,31250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,13906.5,13824.3,13985.9,13905.15,13810.6,13987.1,232,229.75,234.35,280.65,269.9,291.9,0,0,0,0,0,0,0,0,0,-7.2,-8.08,-6.28,12.26,7.96,16.74,0,0,0
20,20,15040.1,14844.6,15238.1,12508.1,11926.45,12999.25,302.1,297,306.9,935.65,902.35,967.05,0,0,0,0,0,0,0,0,0,30.2473895606976,28.1204283374891,32.363203701386,237.888771287755,214.634295538121,261.997306672955,0,0,0
30,20,11313.4,11039.8,11591.75,572.4,469.4,684.9,390.65,384.8,396.3,285.3,257.8,313.3,0,0,0,0,0,0,0,0,0,29.4109426239816,27.4251667164266,31.4642588484694,-68.8159502368308,-72.6018014472208,-64.7680155651541,0,0,0
40,20,7811.35,7575.7,8035.3,12520.35,11127.85,13812.7,452.25,445.5,458.7,665,622.55,707.1,0,0,0,0,0,0,0,0,0,15.8833530317049,13.6752172980357,18.1071611129681,139.945938277818,122.100573016823,156.805831060876,0,0,0
50,20,5822.3,5619,6049.6,2522.1,1987.15,3084.6,483.15,477.65,488.6,507.25,467.9,543.65,0,0,0,0,0,0,0,0,0,6.94007241938529,5.02279550226748,8.6944475230818,-20.3882061607063,-30.5956687419655,-9.67524501454156,0,0,0
60,20,4915.25,4752.65,5089.3,4833.9,4007.55,5643.15,494.9,488.1,502.3,634.2,599.6,668.4,0,0,0,0,0,0,0,0,0,2.52280689921588,0.590307426696986,4.85210708372538,30.7918463818132,14.5899948028286,48.4453502199634,0,0,0
70,20,4671.95,4476.85,4848.05,2653.5,2226.35,3073.65,500.9,494.4,507.2,557.7,524.8,594.45,0,0,0,0,0,0,0,0,0,1.31576803425923,-0.559148287286559,3.22323972921608,-9.54950880218789,-19.4173187715972,0.596623526167808,0,0,0
80,20,4608.55,4404.45,4835.6,3618.2,3087.8,4198,502.7,495.55,510.3,618.35,579.8,657.9,0,0,0,0,0,0,0,0,0,0.407806399964647,-1.13642844193541,2.01483965086941,14.3883748166915,1.96717658278415,26.9596496204174,0,0,0
90,20,4641.75,4450.25,4838.75,2980.85,2444.2,3518.15,502.35,496.4,508.6,575.75,546.05,604.65,0,0,0,0,0,0,0,0,0,0.0518987324290915,-1.81885492092692,2.03468115114706,-3.15355141550528,-13.4661546329072,9.25031976439223,0,0,0
