timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13735,13844,236,232,0,0,0
20,14939,15235,313,285,0,0,0
30,10946,11797,395,370,0,0,0
40,7979,8974,436,437,0,0,0
50,6497,6260,473,493,0,0,0
60,4764,5248,528,490,0,0,0
70,3614,5019,509,479,0,0,0
80,4150,5074,493,480,0,0,0
90,4738,5142,507,514,0,0,0
100,4199,4517,493,517,0,0,0
110,4692,3885,511,505,0,0,0
120,4347,4688,499,483,0,0,0
130,4477,5018,523,501,0,0,0
140,3900,4107,495,500,0,0,0
150,5012,4257,490,504,0,0,0
160,4605,4326,501,528,0,0,0
170,4400,4123,509,515,0,0,0
180,4235,4193,509,499,0,0,0
190,4499,4739,508,493,0,0,0
200,4274,4739,493,482,0,0,0
210,5060,5420,495,507,2,1,23
220,4691,4597,503,489,1,1,24
230,4254,5058,499,484,0,2,18
240,4458,5104,499,488,1,0,30
250,4964,4725,477,510,0,2,37
260,5193,4804,479,477,2,3,48
270,5296,4963,473,475,2,2,51
280,5093,5369,480,475,4,3,61
290,4995,5721,487,459,2,2,65
300,5536,5997,451,449,0,4,60
310,6264,6449,459,460,1,2,67
320,6478,5510,446,459,3,3,92
330,6605,5951,427,464,3,8,115
340,7077,6011,427,445,6,0,105
350,7023,6417,435,440,5,7,111
360,6638,6946,438,438,5,2,115
370,7515,6844,404,437,7,5,111
380,7850,6578,442,418,4,7,113
390,6736,7567,429,413,8,7,116
400,7611,7775,416,442,4,1,104
410,7679,6693,419,427,4,3,98
420,7556,7124,424,443,3,2,97
430,7779,7058,419,446,5,4,114
440,7692,7017,401,408,4,5,105
450,7882,7803,413,403,4,4,111
460,7560,8518,425,413,2,3,117
470,7267,7995,413,410,6,2,119
480,7749,7429,404,424,6,4,118
490,7630,7279,442,429,6,4,117
500,7243,7628,413,402,4,7,143
510,8669,7999,388,395,4,6,140
520,8713,8133,390,408,9,10,141
530,9322,8073,376,395,4,1,143
540,9048,8622,368,403,5,3,144
550,9435,7883,370,405,3,5,133
560,9951,8053,394,409,3,5,126
570,8313,8320,391,399,7,4,131
580,8335,8521,415,418,8,4,131
590,7546,7909,422,402,3,7,131
600,7367,8448,408,402,4,5,132
610,8318,8334,408,414,3,4,133
620,7883,7680,369,392,8,8,133
630,9238,8491,398,422,8,6,133
640,7823,7826,401,376,6,9,118
650,7780,8661,414,403,5,6,105
660,8257,7737,408,419,5,3,116
670,8290,7747,403,442,4,5,122
680,8247,7284,382,404,4,4,141
690,9379,8164,371,404,6,6,157
700,9796,8231,376,379,4,12,137
710,8799,8861,433,407,3,4,110
720,6879,7714,410,413,5,5,113
730,7686,8399,429,405,4,2,114
740,7077,7874,424,406,9,3,123
750,7295,7921,418,409,7,5,116
760,7103,8221,457,404,4,6,115
770,6595,7779,427,421,2,4,122
780,7116,7766,440,413,6,6,142
790,6689,7885,398,391,5,6,143
800,9101,8798,407,417,5,3,145
810,8531,7605,401,412,5,1,136
820,7807,7927,388,401,6,5,127
830,8862,8528,384,407,2,4,124
840,8486,8288,404,406,3,6,117
850,7992,8316,416,429,1,8,116
860,7532,7874,421,391,3,3,128
870,7614,8641,423,389,1,8,119
880,7425,8348,414,415,5,1,123
890,7785,7651,411,437,4,7,116
900,8201,7373,407,407,6,3,116
910,7951,8055,410,389,6,4,116
920,7979,8357,400,407,4,2,113
930,8386,7641,407,427,4,3,106
940,7836,7713,415,433,2,5,113
950,7726,7272,417,421,10,4,120
960,7782,7448,411,415,4,4,128
970,7466,7531,418,432,5,7,131
980,7454,7237,397,405,5,3,102
990,8231,7632,440,401,5,5,92
1000,7064,7940,418,423,4,5,102
