timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,31250,31250,250,250,0,0,0
10,13569,13977,235,270,0,0,0
20,14868,12577,302,1070,0,0,0
30,11388,182,394,203,0,0,0
40,7643,16801,434,565,0,0,0
50,6027,3424,500,550,0,0,0
60,4697,3387,514,635,0,0,0
70,4030,2828,528,573,0,0,0
80,3852,3050,523,535,0,0,0
90,4141,4182,487,727,0,0,0
100,4768,1652,515,439,0,0,0
110,3763,6093,503,713,0,0,0
120,4450,1817,519,544,0,0,0
130,4428,3715,480,612,0,0,0
140,4829,2618,500,602,0,0,0
150,4688,2741,495,526,0,0,0
160,4789,3667,512,694,0,0,0
170,4480,2694,497,498,0,0,0
180,4938,4739,500,657,0,0,0
190,5042,2382,495,478,0,0,0
200,4411,4847,508,705,0,0,0
210,4904,1600,494,538,0,0,24
220,5172,3586,477,614,0,0,24
230,5389,3049,473,508,0,1,25
240,5181,4579,505,744,3,0,29
250,4479,1402,499,443,0,2,40
260,4909,6202,462,696,3,0,49
270,5739,1660,472,494,2,1,51
280,5674,4550,488,710,2,1,45
290,5004,2044,480,469,1,6,55
300,5443,5157,446,710,3,1,71
310,5937,1497,452,474,2,2,76
320,5832,5577,477,668,5,5,80
330,5496,2104,473,559,2,0,91
340,5829,4123,460,525,5,2,100
350,6398,4860,421,666,5,10,135
360,7447,2594,422,492,6,4,156
370,7871,5553,399,617,6,9,163
380,8093,4034,371,468,9,3,174
390,9389,6216,371,654,6,6,175
400,9795,3123,350,452,7,7,188
410,10293,6835,365,723,6,11,180
420,9679,2143,389,371,5,12,182
430,9145,9484,342,648,10,6,185
440,10628,3035,336,467,7,14,205
450,11400,6491,320,592,7,11,210
460,12274,3971,312,504,6,12,222
470,12406,5768,318,562,7,8,204
480,11359,3913,357,533,4,11,194
490,9987,4990,353,540,5,8,165
500,10538,4672,366,543,6,6,188
510,10097,4463,349,551,6,7,213
520,10692,4806,340,566,11,13,214
530,11117,4221,343,484,6,9,225
540,11166,5741,320,608,3,11,223
550,11772,3847,309,415,7,15,221
560,12466,8789,275,653,10,13,202
570,14329,3274,305,435,5,12,225
580,13207,7621,304,628,2,12,218
590,13352,3148,310,498,8,8,221
600,12551,6121,306,553,1,10,198
610,12511,4532,319,529,5,11,180
620,12018,5323,306,486,6,8,173
630,12966,5799,318,634,5,15,190
640,11748,2812,310,517,7,13,201
650,12550,5754,309,587,6,5,208
660,12486,3634,306,501,8,10,217
670,12516,6005,302,625,7,9,193
680,13236,2881,307,488,5,12,190
690,12979,6205,299,580,6,12,194
700,13018,3570,290,562,10,7,199
710,13298,4148,283,488,7,5,184
720,13626,6249,298,598,3,6,153
730,12452,3642,322,571,8,7,156
740,11787,4103,343,537,5,12,163
750,10870,4856,342,583,4,4,160
760,10762,3355,340,612,9,6,164
770,10825,2974,363,502,6,7,178
780,9635,6014,343,588,8,7,182
790,11246,4660,346,434,3,9,196
800,11102,7899,339,606,7,7,186
810,11322,3075,332,546,9,10,190
820,11554,5003,338,510,6,6,207
830,10766,5318,332,590,10,12,195
840,11280,4243,305,573,4,9,194
850,12293,4196,342,486,4,10,206
860,11671,6226,320,626,5,9,202
870,12514,3930,302,546,4,12,210
880,13305,4714,283,485,7,6,227
890,13578,6599,292,590,12,6,214
900,13583,4021,302,459,4,21,218
910,13266,6974,285,587,10,6,184
920,13455,3612,304,588,3,8,192
930,13153,3944,294,439,6,16,186
940,13513,7651,291,629,4,9,169
950,13188,3140,304,447,2,8,177
960,12620,6623,318,627,2,6,191
970,12620,3192,348,528,6,5,199
980,10852,4977,331,505,2,19,199
990,12103,5863,312,579,6,9,204
1000,12779,4419,324,526,3,11,218
