"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,14273,13659,229,261,0,0,0,-8.4,4.4,0
1,20,15057,13753,300,544,0,0,0,31.0043668122271,108.429118773946,0
1,30,10910,3723,415,560,0,0,0,38.3333333333333,2.94117647058824,0
1,40,7025,3241,442,506,0,0,0,6.50602409638554,-9.64285714285714,0
1,50,5995,4285,500,685,0,0,0,13.1221719457014,35.3754940711462,0
1,60,4437,1631,508,448,0,0,0,1.6,-34.5985401459854,0
1,70,4139,5797,508,560,0,0,0,0,25,0
1,80,4181,3513,509,571,0,0,0,0.196850393700787,1.96428571428571,0
1,90,4110,2931,503,580,0,0,0,-1.17878192534381,1.57618213660245,0
1,100,4468,2860,496,515,0,0,0,-1.39165009940358,-11.2068965517241,0
1,110,4890,4213,490,586,0,0,0,-1.20967741935484,13.7864077669903,0
1,120,4648,2691,513,584,0,0,0,4.69387755102041,-0.341296928327645,0
1,130,4332,2900,501,570,0,0,0,-2.33918128654971,-2.3972602739726,0
1,140,4768,2764,480,544,0,0,0,-4.19161676646707,-4.56140350877193,0
1,150,4691,3544,505,573,0,0,0,5.20833333333333,5.33088235294118,0
1,160,4147,3156,525,511,0,0,0,3.96039603960396,-10.8202443280977,0
1,170,4201,4238,510,709,0,0,0,-2.85714285714286,38.747553816047,0
1,180,4414,1752,488,443,0,0,0,-4.31372549019608,-37.5176304654443,0
1,190,4671,6460,516,567,0,0,0,5.73770491803279,27.9909706546275,0
1,200,4241,3737,532,570,0,0,0,3.10077519379845,0.529100529100529,0
1,210,4003,3125,488,527,1,1,26,-8.27067669172932,-7.54385964912281,0
1,220,4838,4289,501,563,1,1,22,2.66393442622951,6.83111954459203,-15.3846153846154
1,230,4682,3659,477,499,1,2,26,-4.79041916167665,-11.3676731793961,18.1818181818182
1,240,5364,4281,492,590,0,0,26,3.14465408805031,18.2364729458918,0
1,250,4931,3127,502,533,2,0,25,2.03252032520325,-9.66101694915254,-3.84615384615385
1,260,4691,4224,463,571,1,2,31,-7.76892430278884,7.12945590994372,24
1,270,5779,3794,477,550,1,1,35,3.02375809935205,-3.67775831873905,12.9032258064516
1,280,5223,3439,493,499,2,0,54,3.35429769392034,-9.27272727272727,54.2857142857143
1,290,4639,5175,476,573,1,2,53,-3.44827586206897,14.8296593186373,-1.85185185185185
1,300,5627,3345,485,538,1,4,64,1.89075630252101,-6.10820244328098,20.7547169811321
1,310,5130,4110,471,515,1,3,63,-2.88659793814433,-4.27509293680297,-1.5625
1,320,5461,4451,460,559,5,4,62,-2.33545647558386,8.54368932038835,-1.58730158730159
1,330,5866,3351,447,552,2,2,75,-2.82608695652174,-1.25223613595707,20.9677419354839
1,340,6205,4036,453,511,6,1,86,1.34228187919463,-7.42753623188406,14.6666666666667
1,350,6172,4522,449,565,4,4,94,-0.883002207505519,10.5675146771037,9.30232558139535
1,360,6720,3357,405,558,7,5,92,-9.79955456570156,-1.23893805309735,-2.12765957446809
1,370,7790,3720,425,552,3,2,95,4.93827160493827,-1.0752688172043,3.26086956521739
1,380,7130,4284,443,550,3,8,119,4.23529411764706,-0.36231884057971,25.2631578947368
1,390,6614,3811,436,473,2,2,104,-1.58013544018059,-14,-12.6050420168067
1,400,6440,5566,437,616,3,4,106,0.229357798165138,30.2325581395349,1.92307692307692
1,410,6683,2464,449,465,7,3,114,2.74599542334096,-24.512987012987,7.54716981132075
1,420,6630,5702,424,614,5,4,117,-5.56792873051225,32.0430107526882,2.63157894736842
1,430,6837,3060,442,472,3,5,120,4.24528301886792,-23.1270358306189,2.56410256410256
1,440,6266,5495,428,524,6,5,133,-3.16742081447964,11.0169491525424,10.8333333333333
1,450,7196,4452,411,517,5,6,152,-3.97196261682243,-1.33587786259542,14.2857142857143
1,460,7999,5260,406,510,6,6,169,-1.21654501216545,-1.35396518375242,11.1842105263158
1,470,8744,5382,371,527,11,12,207,-8.62068965517241,3.33333333333333,22.4852071005917
1,480,10314,5103,336,462,7,8,198,-9.43396226415094,-12.3339658444023,-4.34782608695652
1,490,11335,7015,332,460,6,9,204,-1.19047619047619,-0.432900432900433,3.03030303030303
1,500,12159,6948,318,479,9,12,203,-4.21686746987952,4.1304347826087,-0.490196078431373
1,510,12264,6320,325,474,4,8,190,2.20125786163522,-1.04384133611691,-6.40394088669951
1,520,11308,6377,323,494,8,11,203,-0.615384615384615,4.21940928270042,6.84210526315789
1,530,11725,6302,322,503,3,7,206,-0.309597523219814,1.82186234817814,1.47783251231527
1,540,12043,5943,334,461,8,10,200,3.72670807453416,-8.34990059642147,-2.9126213592233
1,550,11206,6967,346,473,10,11,182,3.59281437125748,2.60303687635575,-9
1,560,10924,6427,350,460,4,11,192,1.15606936416185,-2.74841437632135,5.49450549450549
1,570,10544,7336,360,514,3,11,177,2.85714285714286,11.7391304347826,-7.8125
1,580,9970,5686,355,469,5,8,185,-1.38888888888889,-8.75486381322957,4.51977401129944
1,590,10651,6634,347,528,7,11,208,-2.25352112676056,12.5799573560768,12.4324324324324
1,600,11303,5549,318,436,7,11,220,-8.35734870317003,-17.4242424242424,5.76923076923077
1,610,12337,7578,296,535,7,5,211,-6.91823899371069,22.7064220183486,-4.09090909090909
1,620,13109,5323,309,489,4,6,198,4.39189189189189,-8.5981308411215,-6.16113744075829
1,630,12532,6121,318,454,5,15,192,2.9126213592233,-7.15746421267894,-3.03030303030303
1,640,11763,6746,338,478,6,9,169,6.28930817610063,5.2863436123348,-11.9791666666667
1,650,11431,5793,309,606,8,4,161,-8.57988165680473,26.7782426778243,-4.73372781065089
1,660,12382,3993,298,480,3,9,177,-3.55987055016181,-20.7920792079208,9.93788819875776
1,670,13082,6057,325,480,6,10,182,9.06040268456376,0,2.82485875706215
1,680,11522,5968,351,528,4,6,166,8,10,-8.79120879120879
1,690,9840,4379,342,488,5,8,168,-2.56410256410256,-7.57575757575758,1.20481927710843
1,700,10584,5789,366,537,4,9,166,7.01754385964912,10.0409836065574,-1.19047619047619
1,710,9984,4356,357,456,11,14,190,-2.45901639344262,-15.0837988826816,14.4578313253012
1,720,10245,6691,370,593,3,8,172,3.64145658263305,30.0438596491228,-9.47368421052632
1,730,9891,3436,359,467,7,12,186,-2.97297297297297,-21.247892074199,8.13953488372093
1,740,10577,5957,348,542,8,10,175,-3.06406685236769,16.0599571734475,-5.91397849462366
1,750,10607,4685,343,462,7,11,203,-1.4367816091954,-14.760147601476,16
1,760,11237,6618,307,536,5,7,198,-10.4956268221574,16.017316017316,-2.46305418719212
1,770,12596,5649,314,385,8,15,202,2.28013029315961,-28.1716417910448,2.02020202020202
1,780,13022,9111,292,454,5,10,195,-7.00636942675159,17.9220779220779,-3.46534653465347
1,790,14020,6871,292,515,7,5,168,0,13.4361233480176,-13.8461538461538
1,800,13461,5518,301,548,6,7,178,3.08219178082192,6.40776699029126,5.95238095238095
1,810,13185,4296,305,426,10,6,188,1.32890365448505,-22.2627737226277,5.61797752808989
1,820,12165,7824,322,474,7,9,167,5.57377049180328,11.2676056338028,-11.1702127659574
1,830,12039,5909,314,511,7,4,158,-2.48447204968944,7.80590717299578,-5.38922155688623
1,840,12011,5320,310,508,6,9,149,-1.27388535031847,-0.587084148727984,-5.69620253164557
1,850,12307,4901,325,555,4,8,148,4.83870967741935,9.25196850393701,-0.671140939597315
1,860,11329,4275,352,476,9,6,157,8.30769230769231,-14.2342342342342,6.08108108108108
1,870,10239,6207,366,530,3,9,167,3.97727272727273,11.3445378151261,6.36942675159236
1,880,9412,4733,363,440,7,6,177,-0.819672131147541,-16.9811320754717,5.98802395209581
1,890,9604,6885,370,526,4,6,183,1.92837465564738,19.5454545454545,3.38983050847458
1,900,9607,4696,383,500,4,9,179,3.51351351351351,-4.94296577946768,-2.18579234972678
1,910,9506,5267,376,536,5,9,180,-1.82767624020888,7.2,0.558659217877095
1,920,9289,4702,365,487,5,3,176,-2.92553191489362,-9.14179104477612,-2.22222222222222
1,930,10133,5774,334,497,7,6,197,-8.49315068493151,2.05338809034908,11.9318181818182
1,940,11298,5313,347,473,2,8,183,3.89221556886228,-4.82897384305835,-7.10659898477157
1,950,10811,6066,345,578,3,7,193,-0.576368876080692,22.1987315010571,5.46448087431694
1,960,11031,4088,326,468,8,14,213,-5.50724637681159,-19.0311418685121,10.3626943005181
1,970,11274,6272,318,497,8,8,194,-2.45398773006135,6.1965811965812,-8.92018779342723
1,980,11460,6049,351,492,6,11,180,10.377358490566,-1.00603621730382,-7.21649484536082
1,990,10536,5808,334,500,5,7,180,-4.84330484330484,1.6260162601626,0
1,1000,10896,5296,344,532,13,11,152,2.9940119760479,6.4,-15.5555555555556
2,0,31250,31250,250,250,0,0,0,0,0,0
2,10,13968,14084,226,262,0,0,0,-9.6,4.8,0
2,20,15431,13336,312,628,0,0,0,38.0530973451327,139.69465648855,0
2,30,11256,2342,397,436,0,0,0,27.2435897435897,-30.5732484076433,0
2,40,7726,6450,429,553,0,0,0,8.06045340050378,26.8348623853211,0
2,50,6511,3427,475,585,0,0,0,10.7226107226107,5.78661844484629,0
2,60,5529,2921,482,556,0,0,0,1.47368421052632,-4.95726495726496,0
2,70,5210,2941,471,549,0,0,0,-2.28215767634855,-1.2589928057554,0
2,80,5299,3508,502,530,0,0,0,6.58174097664544,-3.4608378870674,0
2,90,4605,3891,505,595,0,0,0,0.597609561752988,12.2641509433962,0
2,100,4393,2803,508,573,0,0,0,0.594059405940594,-3.69747899159664,0
2,110,4390,3370,497,569,0,0,0,-2.16535433070866,-0.698080279232112,0
2,120,4380,3043,499,527,0,0,0,0.402414486921529,-7.38137082601054,0
2,130,4455,3781,497,578,0,0,0,-0.400801603206413,9.67741935483871,0
2,140,4834,3283,500,566,0,0,0,0.603621730382294,-2.07612456747405,0
2,150,4429,3110,490,598,0,0,0,-2,5.65371024734982,0
2,160,4725,2741,517,538,0,0,0,5.51020408163265,-10.0334448160535,0
2,170,4695,3607,532,568,0,0,0,2.90135396518375,5.57620817843866,0
2,180,4267,3388,497,533,0,0,0,-6.57894736842105,-6.16197183098592,0
2,190,4552,3882,472,568,0,0,0,-5.03018108651911,6.56660412757974,0
2,200,5243,3194,501,575,0,0,0,6.14406779661017,1.23239436619718,0
2,210,4717,3069,490,564,1,1,22,-2.19560878243513,-1.91304347826087,0
2,220,5311,3658,485,538,1,0,23,-1.02040816326531,-4.60992907801418,4.54545454545455
2,230,5239,3331,483,626,0,3,22,-0.412371134020619,16.3568773234201,-4.34782608695652
2,240,5187,2598,479,487,1,0,23,-0.82815734989648,-22.2044728434505,4.54545454545455
2,250,4789,5299,499,580,1,2,29,4.17536534446764,19.0965092402464,26.0869565217391
2,260,4563,3131,502,521,2,2,34,0.601202404809619,-10.1724137931034,17.2413793103448
2,270,4786,3867,495,529,2,3,46,-1.39442231075697,1.53550863723608,35.2941176470588
2,280,4656,4204,483,585,1,2,48,-2.42424242424242,10.586011342155,4.34782608695652
2,290,5135,3012,503,552,1,5,60,4.1407867494824,-5.64102564102564,25
2,300,4904,3392,464,540,6,4,54,-7.75347912524851,-2.17391304347826,-10
2,310,5972,3861,471,571,4,3,59,1.50862068965517,5.74074074074074,9.25925925925926
2,320,5251,3286,470,528,3,1,59,-0.212314225053079,-7.53064798598949,0
2,330,5366,4007,465,579,3,1,73,-1.06382978723404,9.65909090909091,23.728813559322
2,340,5876,3316,457,494,6,2,72,-1.72043010752688,-14.6804835924007,-1.36986301369863
2,350,6038,4948,448,564,2,4,104,-1.96936542669584,14.17004048583,44.4444444444444
2,360,6441,3310,456,566,7,2,97,1.78571428571429,0.354609929078014,-6.73076923076923
2,370,6327,3503,433,516,4,8,99,-5.04385964912281,-8.8339222614841,2.06185567010309
