"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,31250,31250,250,250,0,0,0,0,0,0
1,10,13981,13831,227,252,0,0,0,-9.2,0.8,0
1,20,15483,13740,288,534,0,0,0,26.8722466960352,111.904761904762,0
1,30,11924,3514,391,521,0,0,0,35.7638888888889,-2.43445692883895,0
1,40,7765,4168,449,533,0,0,0,14.8337595907928,2.30326295585413,0
1,50,5425,3951,490,583,0,0,0,9.13140311804009,9.38086303939962,0
1,60,4840,3016,508,537,0,0,0,3.6734693877551,-7.89022298456261,0
1,70,4401,3527,503,533,0,0,0,-0.984251968503937,-0.74487895716946,0
1,80,4238,3818,520,553,0,0,0,3.37972166998012,3.75234521575985,0
1,90,4896,3290,510,538,0,0,0,-1.92307692307692,-2.7124773960217,0
1,100,4219,4002,488,559,0,0,0,-4.31372549019608,3.90334572490706,0
1,110,4473,3339,506,531,0,0,0,3.68852459016393,-5.00894454382826,0
1,120,4390,3541,513,561,0,0,0,1.38339920948617,5.64971751412429,0
1,130,4121,3395,503,576,0,0,0,-1.94931773879142,2.67379679144385,0
1,140,4200,2706,508,540,0,0,0,0.99403578528827,-6.25,0
1,150,4456,3763,501,531,0,0,0,-1.37795275590551,-1.66666666666667,0
1,160,4184,4306,521,578,0,0,0,3.99201596806387,8.85122410546139,0
1,170,3742,2749,517,557,0,0,0,-0.767754318618042,-3.63321799307958,0
1,180,4351,3737,479,534,0,0,0,-7.35009671179884,-4.12926391382406,0
1,190,5080,3962,485,573,0,0,0,1.25260960334029,7.30337078651685,0
1,200,4455,3187,521,507,0,0,0,7.42268041237113,-11.5183246073298,0
1,210,4423,4740,504,561,2,1,29,-3.26295585412668,10.6508875739645,0
1,220,4933,3521,480,518,0,0,32,-4.76190476190476,-7.66488413547237,10.3448275862069
1,230,5680,4608,464,542,0,2,32,-3.33333333333333,4.63320463320463,0
1,240,5652,3432,479,548,0,3,35,3.23275862068966,1.1070110701107,9.375
1,250,5730,4108,492,517,2,2,34,2.71398747390397,-5.65693430656934,-2.85714285714286
1,260,5009,4270,459,602,1,1,43,-6.70731707317073,16.4410058027079,26.4705882352941
1,270,5840,2416,480,477,2,2,49,4.57516339869281,-20.7641196013289,13.953488372093
1,280,5547,5650,477,562,4,2,63,-0.625,17.8197064989518,28.5714285714286
1,290,6145,4080,440,452,3,3,71,-7.75681341719078,-19.5729537366548,12.6984126984127
1,300,6530,6635,442,515,3,4,89,0.454545454545455,13.9380530973451,25.3521126760563
1,310,6962,4393,424,516,1,8,119,-4.07239819004525,0.194174757281553,33.7078651685393
1,320,7495,4979,431,527,3,5,144,1.65094339622642,2.13178294573643,21.0084033613445
1,330,7314,4512,410,480,7,2,138,-4.87238979118329,-8.91840607210626,-4.16666666666667
1,340,8400,5528,386,565,5,7,146,-5.85365853658537,17.7083333333333,5.79710144927536
1,350,9231,3423,382,486,0,10,157,-1.03626943005181,-13.9823008849558,7.53424657534247
1,360,9196,5633,354,475,10,6,170,-7.32984293193717,-2.26337448559671,8.28025477707006
1,370,10641,5886,334,509,11,6,165,-5.64971751412429,7.15789473684211,-2.94117647058824
1,380,11638,5490,330,496,5,6,186,-1.19760479041916,-2.55402750491159,12.7272727272727
1,390,11935,5476,313,511,7,9,178,-5.15151515151515,3.0241935483871,-4.3010752688172
1,400,12392,5105,350,470,5,5,164,11.8210862619808,-8.02348336594912,-7.86516853932584
1,410,10620,6517,349,488,7,6,159,-0.285714285714286,3.82978723404255,-3.04878048780488
1,420,10838,5507,358,503,4,10,157,2.57879656160458,3.07377049180328,-1.25786163522013
1,430,9725,5088,352,540,9,3,163,-1.67597765363128,7.3558648111332,3.82165605095541
1,440,10361,4666,356,476,4,4,146,1.13636363636364,-11.8518518518519,-10.4294478527607
1,450,10377,5728,355,556,2,8,151,-0.280898876404494,16.8067226890756,3.42465753424658
1,460,10237,3924,356,485,3,6,159,0.28169014084507,-12.7697841726619,5.29801324503311
1,470,10405,5423,347,493,2,7,146,-2.52808988764045,1.64948453608247,-8.17610062893082
1,480,10965,5209,389,526,2,8,142,12.1037463976945,6.69371196754564,-2.73972602739726
1,490,8722,4510,403,488,5,5,145,3.59897172236504,-7.22433460076046,2.11267605633803
1,500,8322,6113,376,509,4,6,156,-6.69975186104218,4.30327868852459,7.58620689655172
1,510,9276,5056,365,473,3,8,152,-2.92553191489362,-7.07269155206287,-2.56410256410256
1,520,9643,5734,406,522,6,6,131,11.2328767123288,10.3594080338266,-13.8157894736842
1,530,8157,4195,400,530,7,7,138,-1.47783251231527,1.53256704980843,5.34351145038168
1,540,8024,4541,382,504,5,9,158,-4.5,-4.90566037735849,14.4927536231884
1,550,9319,4925,378,520,4,13,150,-1.04712041884817,3.17460317460317,-5.06329113924051
1,560,8788,4747,403,468,5,8,136,6.61375661375661,-10,-9.33333333333333
1,570,8970,6035,390,558,7,2,140,-3.2258064516129,19.2307692307692,2.94117647058824
1,580,8499,3720,394,503,4,8,131,1.02564102564103,-9.85663082437276,-6.42857142857143
1,590,8468,5004,374,491,11,3,141,-5.0761421319797,-2.38568588469185,7.63358778625954
